round,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
16,1,259.09364548494983,80.0,76.0,45.735785953177256,57.357859531772576,100.0,98.0,80.18394648829431,87.45819397993311
16,2,202.08215297450425,62.0,58.0,36.685552407932015,45.39660056657224,96.0,90.0,67.84702549575071,76.06232294617564
16,3,237.07454289732772,76.0,84.0,32.63009845288326,44.44444444444444,94.0,98.0,65.33052039381154,82.9113924050633
16,4,223.26819541375875,74.0,72.0,37.68693918245264,39.581256231306085,96.0,90.0,71.9840478564307,76.66999002991027
0,0,250.3582580115037,80.0,78.0,43.960558751027115,48.39769926047658,100.0,98.0,80.60805258833196,86.93508627773213
0,1,256.5785953177258,80.0,78.0,45.1505016722408,53.42809364548495,100.0,100.0,78.51170568561874,84.94983277591973
0,2,188.38243626062325,56.0,52.0,38.59773371104816,41.78470254957507,98.0,90.0,68.69688385269122,73.08781869688386
0,3,228.68354430379748,74.0,80.0,31.504922644163152,43.17862165963432,96.0,98.0,65.18987341772151,81.57524613220816
0,4,204.88733798604187,70.0,64.0,37.188434695912264,33.698903290129614,96.0,90.0,71.08673978065802,73.08075772681954
1,0,255.31635168447002,82.0,78.0,44.45357436318817,50.86277732128184,100.0,98.0,81.51191454396056,86.52423993426459
1,1,262.0066889632107,82.0,78.0,46.82274247491639,55.18394648829432,100.0,100.0,79.09698996655518,85.8695652173913
1,2,191.44475920679886,60.0,50.0,37.39376770538244,44.05099150141643,96.0,92.0,69.26345609065156,75.07082152974505
1,3,234.23066104078762,76.0,82.0,32.137834036568215,44.09282700421941,96.0,98.0,66.10407876230661,82.9113924050633
1,4,216.0777666999003,74.0,68.0,38.08574277168495,35.99202392821535,96.0,90.0,71.88434695912264,74.4765702891326
2,0,254.54889071487264,82.0,76.0,45.35743631881676,51.191454396055875,100.0,96.0,81.67625308134758,88.08545603944125
2,1,264.67558528428094,82.0,80.0,46.65551839464883,56.020066889632105,100.0,100.0,79.51505016722408,86.2876254180602
2,2,188.45325779036827,56.0,52.0,37.110481586402265,43.342776203966004,96.0,92.0,67.35127478753542,75.70821529745042
2,3,237.14486638537272,78.0,82.0,32.419127988748244,44.72573839662447,98.0,98.0,65.33052039381154,82.41912798874824
2,4,223.6729810568295,74.0,74.0,38.783649052841476,36.88933200398804,96.0,90.0,71.78464606181456,75.47357926221336
3,0,255.37058340180772,82.0,76.0,45.686113393590794,51.68447000821693,100.0,96.0,82.08709942481512,88.00328677074774
3,1,264.4247491638796,82.0,80.0,46.48829431438127,55.936454849498325,100.0,100.0,80.2675585284281,86.53846153846153
3,2,198.1359773371105,62.0,52.0,37.25212464589235,46.88385269121813,96.0,92.0,67.13881019830028,76.77053824362606
3,3,237.9887482419128,76.0,84.0,33.26300984528832,44.72573839662447,98.0,98.0,65.75246132208157,82.70042194092827
3,4,218.76969092721833,72.0,70.0,39.18245264207378,37.587238285144565,96.0,90.0,71.68494516450649,76.07178464606181
4,0,256.4667214461791,82.0,78.0,44.94658997534922,51.52013147082991,100.0,96.0,82.41577649958916,88.5784716516023
4,1,263.67892976588627,80.0,80.0,46.32107023411371,57.357859531772576,100.0,100.0,80.76923076923077,86.45484949832776
4,2,192.45325779036827,60.0,52.0,37.039660056657226,43.41359773371105,96.0,92.0,67.4929178470255,76.13314447592067
4,3,236.1997187060478,76.0,82.0,32.48945147679325,45.71026722925457,98.0,98.0,65.40084388185655,82.77074542897327
4,4,225.56729810568294,72.0,76.0,39.780658025922236,37.786640079760716,96.0,90.0,70.98703888334995,76.76969092721835
5,0,255.12407559572722,82.0,76.0,44.86442070665571,52.259654889071484,100.0,96.0,82.41577649958916,88.4963023829088
5,1,265.01003344481603,82.0,80.0,45.986622073578594,57.02341137123746,100.0,98.0,80.93645484949833,86.20401337792642
5,2,189.3201133144476,60.0,50.0,36.685552407932015,42.63456090651558,96.0,92.0,67.20963172804532,77.26628895184136
